feature,importance
age,0.18993291792317168
cost_barrier_1,0.09865911020496033
income_poverty_ratio,0.0825424084465521
education,0.0666210336382
health_status,0.06521877460354422
region,0.06227296428917495
bmi_category,0.05982835927869914
marital_status,0.040406109744404346
hispanic,0.0369582445674202
medicare,0.03143638623365118
num_children,0.03040190149446852
race,0.030390709858640615
sex,0.025157042513763883
usual_care_place,0.018017799253954404
smoking_status,0.017772323612241604
high_risk_chronic,0.016261221334791433
hypertension,0.015469104427178835
disability,0.014954855172502394
cancer_ever,0.012697695137073667
medicaid,0.012381068955000574
diabetes,0.012131394749231162
copd,0.008758995298998044
heart_disease,0.008676646400398832
uninsured,0.008314765083858084
access_barrier,0.008194289413270666
stroke,0.006762185692685536
has_insurance,0.006500359149887356
cost_barrier_2,0.004851916832513829
angina,0.004628438692237019
any_cost_barrier,0.003800977997525385
