Variable,RF_Importance
age,0.20165780651799284
cost_barrier_1,0.09913413579561427
income_poverty_ratio,0.07416795187575725
health_status,0.0684672561987976
region,0.06509066417510122
bmi_category,0.058847350728578086
education,0.056837366631005054
hispanic,0.03301652112309233
marital_status,0.03032454676080235
medicare,0.027232240909603855
num_children,0.02477429651856662
sex,0.02441612902519468
race,0.022919326161240067
insurance_type,0.02086623363053475
usual_care_place,0.01662094608399711
us_born,0.01627720780919961
high_risk_chronic,0.01563224782444752
disability,0.015553628288053158
hypertension,0.014721230411727156
parent_status,0.01326370757676356
cancer_ever,0.01189318079362761
diabetes,0.011732084195441467
medicaid,0.009406540289208697
copd,0.008374405603553972
heart_disease,0.007770774840554377
citizenship,0.007606454609925057
stroke,0.006936288182442328
access_barrier,0.0069256961065012855
smoking_status,0.006725243732603876
has_insurance,0.005873789241212886
angina,0.004264451151839236
uninsured,0.004082654541165873
any_cost_barrier,0.003566755561613267
cost_barrier_2,0.003353892063419336
reason_no_ins_cost,0.0011493446751024946
stopped_care_cost,0.0005176503657192238
